"TEAM NAMES","Series Number",Filename,Name,Description,Gender,Attributes,sha256
,98,phoebe-queen-bee,"phoebe queen bee","A self-centred woman.",Female,"hair: brown flowing hair; eyes: blue; teeth: none; clothing: ankara top; accessories: none; expression: blank; strength: attractive; weakness: gullible",8f066613d9602ad9f059d3329fff46a8c7b1fca9a91f807c4c77d10e1f92c850
,99,rachel-warri-babe,"rachel warri babe","A highly disciplined woman.",Female,"hair: red braids; eyes: white; teeth: none; clothing: yellow danshiki; accessories: none; expression: blank; strength: assertive; weakness: talkative",2db8f28ce083401d28766d7d0b99a6f536c08e117b7114bdfd72bd1847a7bf33
,100,adun-preacher,"adun preacher","A religious woman.",Female,"hair: black short hair; eyes: blue; teeth: none; clothing: blue paisley print blouse; accessories: ankara bonnet and hookah;  expression: blank; strength: bold; weakness: fake",895b14af3dc0325cf34d679a9229bfe2a657d024ba3f907ffc681117f3bffb00
"TEAM CHISEL",101,adebola-omo-oba,"adebola omo oba","Adebola loves soft life with her fathers wealth.",Female,"hair: brown; eyes: opened; teeth: white; clothing: ankara print; accessories:none; expression: staring; strength: bold and outspoken; weakness: pride",12825354389907caddd4fc812972bcb813718b53e4ea9abeec0d1814f821cc39
,102,chichi-the-dancer,"chichi the dancer","Chichi loves dancing and party.",Female,"hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: shocked; strength: dancing; weakness: lovergirl",f7ea498c685942180123a3d1f117e753f0897e5b8f853b8ee55e5a6c33e4f92f
,103,hammed-the-farmer,"hammed the farmer","Hammed owns a farm with his family.",Male,"hair: none; eyes: opened; teeth: none; clothing: brown and cream buba; accessories: nose mask; expression: innocent; strength: farming; weakness: drinking",8f6238579ec98cb512dd59726199d1cd8ee0b90c4875287c9b375e6d3734ca18
,104,farida-the-tivlady,"farida the tivlady","Farida is a beautiful Tiv woman.",Female,"hair: brown; eyes: opened; teeth: none; clothing: ankara print; accessories: lipgloss; expression: cool; strength: cooking; weakness: multitasking",3bae24c53c963130de76d6c8bcbd8d84cbd370aad2fdf35b173bc3f954598651
,105,hannah-the-singer,"hannah the singer","Hannah loves singing and belongs to choir.",Female,"hair: blonde; eyes: opened; teeth: none; clothing: flower print dress; accessories: earrings; expression: angry; strength: singing; weakness: reading",327bfd3dc8df1f84431ab7dfd4cf2837174ffb50c6c0e216e167625361975e51
,106,nonso-the-igbogirl,"nonso the igbogirl","Nonso is a hardworking Igbo girl.",Female,"hair: black; eyes: opened; teeth: none; clothing: leopard print blouse; accessories: none; expression: happy; strength: business; weakness: spending",9121726e5d2a8a06216f8c2ae5accb71e14467fbd98e725dc47711dc9ee02d70
,107,shade-olori,"shade olori","Shade loves soft life and makeup.",Female,"hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: none; strength: makeup; weakness: sleeping",a9607430a8fea494717058c1a7b8f6ae279d50616323a26f7766007825cdeaf9
,108,quadri-the-teacher,"quadri the teacher","Quadri is a devoted teacher that teaches mathematics.",Male,"hair: none; eyes: opened; teeth: none; clothing: yellow on blue jean; accessories: nose mask; expression: none; strength: teaching; weakness: talking",9ae8721c3329bb9a187ab4935ee4444c18b0497a3384145ec486b41f854de0f1
,109,Ifeanyi-the-dj,"Ifeanyi the dj","Ifeanyi is a music dj that performs at events.",Male,"hair: none; eyes: opened; teeth: opened; clothing: animal print; accessories: red cap; expression: none; strength: mixing songs; weakness: none",22b31c61d533abbf5d74d2c90dc0121929931e78dd3c083f0df6a56fa3158efa
,110,fayo-the-yorubademon,"fayo the yorubademon","Fayo is a yoruba demon with excellent communication skills.",Male,"hair: bald; eyes: opened; teeth: none; clothing: africa print; accessories: mask; expression: none; strength: determined; weakness: steals",89e88dba30078b23c6e88c70619aaa8531fe7cb809c399c5f0d4fa98b1bd0eae
,111,nkechi-the-actress,"nkechi the actress","Nkechi is an international actress that acts in hollywood.",Female,"hair: purpule short hair; eyes: opened; teeth: none; clothing: native print; accessories: smoking; expression: rugged; strength: love; weakness: lie",c96289bad4d0846db1fa4468a319c589b076a69ee6e094a8f0296a2c735f5de0
,112,hamzat-the-mallam,"hamzat the mallam","Hamsat is a mallam doing burea de change for a living.",Male,"hair: bald; eyes: opened; teeth: none; clothing: wrapper; accessories: none; expression: straight; strength: traditional; weakness: diabolic",61f9febbc568bbc98a6759bc2539debce63df4a85b686e8b74f1d1dcf7bbf6d0
,113,nnena-pretty-girl,"nnena pretty girl","Nnena is beautiful girl that loves to talk about her beauty.",Female,"hair: brown bob marley; eyes: open; teeth: covered; clothing: african print; accessories: sucker; expression: none; strength: giver; weakness: possesive",ce280a8dfd344e9df620f3bdd5c00ca2d2d885de9c820411a71201b0394a5be2
,114,tunde-the-boss,"tunde the boss","Tunde is a boss that loves to take charge at work.",Male,"hair: capped; eyes: opened; teeth: white; clothing: native cloth; accessories: none; expression: none; strength: cooks well; weakness: bossy",a8fb5579dc6d8f9993852532fea0efe6c96262030a0b903143b7702f95dbb88b
,115,nnamdi-the-barber,"nnamdi the barber","Nnamdi is a barber that devotes time to perfect his craft.",Male,"hair: brown afro; eyes: open; teeth: smokey; clothing: africa print; accessories: none; expression: none; strength: determined; weakness: loves clubbing",94edfb5fa898c7f4452275c34c98113c378457759908d20119643aec6bdfb707
,116,amaka-the-hypepriestess,"amaka the hypepriestess","Amaka is can never be intimidated no matter the circumstance. ",Female,"hair: black hair; eyes: opened; teeth: open teeth; clothing: africa print; accessories: none; expression: laughing; strength: independent; weakness: insultive",022ea61722529a7c8eb4e96330a523e557ed8b90259a226b76ab7cb6f5fefd7a
,117,kemi-foodie,"kemi foodie","Kemi loves food and can also prepare good meals. ",Female,"hair: black har with scarf; eyes: partly opened; teeth: none; clothing: one hand style; accessories: none; expression: none; strength: can cook very well; weakness: dirtiness",0c33772af3e86f2e8bbae27d635144032dd6b016316364bab470ba0857354c11
,118,ada-the-fashionister,"ada the fashionister","Ada loves fashion that she rarely repeats cloths.",Female,"hair: brown afro; eyes: glasses; teeth: white; clothing: africa print; accessories: none; expression: smiling; strength: successful; weakness: too serious",81c735365f1c15ea88a25b115c7288d3c71724435c65f189ccbf169cdea089e0
,119,kayode-the-baller,"kayode the baller","Kayode loves life and lives it.",Male,"hair: bald; eyes: wide opened; teeth: none; clothing: yellow on jeans; accessories: none; expression: none; strength: swaggy; weakness: loves women",dfa7ab6782aaff8b1e17e3eaaf39cb730798cebe7659f2c8d8857aed3c578281
,120,kola-of-lagos,"kola of lagos","Kola is the life of the party everywhere he is.",Male,"hair: bald; eyes: opened; teeth: none; clothing: native; accessories: none; expression: none; strength: intelligent; weakness: shy",0fd9e167f413e89903d2f0362b390fd121b23525e99349d5645ef85818de40ee
"TEAM BRAINBOX",121,azikiwe-popular-trader,"azikiwe popular trader","Azikiwe is a popular trader.",Male,"hair: none; eyes: blue; teeth: none; clothing: purple and yellow; accessories: cap; expression: happy; strength:strong; weakness: shy",0f1a354a3fd9ee5f7303f0aeaab83434b719fca631924444947dd62179139cfb
,122,obasanjo-funny-guy,"obasanjo funny guy","Obasanjo is such a sweet guy loves by all. ",Male,"hair:none ;eyes: black; teeth:small open teeth; clothing: sleeveless yellow ankara; accessories:none; expression: serious face; strength:mild; weakness:anger",9d1330de4af70dc3dd8af94cb70adfee6a6a830b0eee087dc419cf06b882c222
,123,yakubu-village-chief,"yakubu village chief","Yakubu is the best village chieftain.",Male,"hair:none ;eyes: blue; teeth:open white teeth; clothing: black isiagu; accessories:cap; expression:happy; strength:strong; weakness:impatience",b564ecaa28f4a269899513a708e88a22050d3d331fdcfca6343b1ef3bebf7ef9
,124,abacha-loves-smoking,"abacha loves smoking","Abacha loves taking cigarettes.",Male,"hair:cute braided hair ;eyes: black ball white eye; teeth:none; clothing: mixed colors ankara wear; accessories:none; expression:happy;  strength:strong;  weakness: anger",aa66f84506833e01aecca830c3077e34cd3f12f9e44c56eb0d852214820a9c8d
,125,johnathan-good-leader,"johnathan the humanitarian ","Johnathan is very progressive young man.",Male,"hair:punk bearded man ;eyes: closed; teeth:none; clothing: white shirt and senator; accessories:cap; expression:bone face; strength:strong; weakness:pride",7c594e2202d84846fcdd820bef534fe5e1e9e29e8edcad3b6090af7665fd4e0b
,126,johnathan-genz-kid,"johnathan genz kid","Johnathan is zealous young man.",Male,"hair:none ;eyes: blue;teeth: white; clothing: yellow ankara wear; accessories: traditional cap; expression:happy; strength:strong; weakness:arrogance",3c3270765456930fde3ef77bf4552c5193e56aae12ff8670276e18e08437632b
,127,eddy-the-community,"eddy the community leader","Eddy has so much positive energy.",Male,"hair:none ;eyes: blue; teeth:none; clothing: black isiagu wear; accessories: cap; expression: happy; strength: strong; weakness:emotional",3cf627fdeb05efabd1bf118c30bb363b96a405321babbe32de265273b75ac815
,128,olu-the-oba,"olu the oba","Olu the great ruler in our land.",Male,"hair: purple braided hair ;eyes: black; teeth: none; clothing: mixed color traditional wear; accessories: none; expression: serious face; strength:mild; weakness:anger",37405f74c82dffc44dfc294d4af766094d80151c062fe659a315f18ec8003f43
,129,edu-the-biggest-trader,"edu the biggest trader","Edu is the biggest merchant in west coast.",Male,"hair:none ;eyes: blue; teeth:closed; clothing: black and yellow collar native wear; accessories:cap; expression:happy; strength:strong; weakness:impatience",6fdc2a6c260f26c320f72a95d530717ebb499395d1003c2f39a4a2f89d55af4f
,130,james-importer-and-exporter,"james importer and exporter","James is the sole importer and exporter of spare parts.",Male,"hair:none ;eyes: blue; teeth:none; clothing: purple and yellow; accessories:cap; expression:happy; strength:strong; weakness:pride",bbc0d40832eb51fdc674b58a861fe2349e5acc5a052b7e1862039bfa2963a6ad
,131,lanre-the-dreaded-guy,"lanre the dreaded guy","Lanre has a great reputation.",Male,"hair: none ;eyes: none; teeth:white; clothing: ankara; accessories:cap; expression: happy; strength:strong; weakness:anger",bdd745c9309a0fe2941599222702c4c547560cc5b2bb35a87347909a628466fb
,132,olamide-the-street-boy,"olamide the street boy","Olamide has a sweet voice.",Male,"hair:none ;eyes: white; teeth: none; clothing: green and blue; accessories: cap; expression: serious face; strength:strong; weakness:stubborn",ca5cfd406a3106ac8574e12bbd199ab04238f06369c46b7c43004d07bf025c28
,133,uche-peace-loving-man,"uche peace loving man","Uche man of peace and discipline.",Male,"hair: yellow ;eyes: blue;teeth:none; clothing: yellow; accessories:none; expression:happy; strength:strong; weakness:emotional",ed93410e87d3ab7a701b554407bdff8565081aec8d8fb2d32e4a5266b23f2b50
,134,dave-the-tech-bro,"dave the tech bro","Dave is a web3 enthusiast.",Male,"hair: none ;eyes: none; teeth:white; clothing: none; accessories:cap; expression: serious face; strength:strong; weakness:none",d3fcdd897e6a68c4b4cd29efee2053bb45ff0e417ec0f590be7d3a8126b9770a
,135,obi-the-biggest-humanitarian,"obi the biggest humanitarian","Obi loves service to humanity.",Male,"hair:none ;eyes: blue; teeth:white; clothing: brown; accessories:cap; expression:happy; strength: strong; weakness:none",fd5c65bcf5e1c43866616826f342a8fa28ed74f30c192e86ac69977baf8e6c79
,136,precious-the-emotional-girl,"precious the emotional girl","Precious is soft hearted and sensitive.",Female,"hair:none ;eyes: white; teeth: white; clothing: yellow and blue; accessories:cap; expression:angry; strength:strong; weakness:none",24d4d1c11fb7eec30f5e677de95e7c0767313bec9ffd612887ec125bc4f4bceb
,137,ella-serious-minded,"ella serious minded","Ella a dedicated young lady.",Female,"hair: none ;eyes: white;teeth: white; clothing: black and yellow; accessories:cap; expression:happy; strength:strong; weakness:none",c9dc7363650f6d0403741ad51d2813181fa3e4d654e06ecccb19ab0a50fdb276
,138,cynthia-cute-eyes,"cynthia cute eyes","Cynthia with priceless cute eyes.",Female,"hair:yellow ;eyes: blue;teeth:none; clothing: blue and yellow; accessories: none; expression: serious face; strength: mild; weakness:pride",382dc2e2002e34651bdd1940ff5e97bddb79d5ab063518c2e6eece4d87c0bcaa
,139,mary-with-hair,"mary with hair","Mary with her beautiful Afro.",Female,"hair: none;eyes: none;teeth:none; clothing: casual ankara; accessories:cap; expression:scared; strength:sensitive; weakness: fearful",c1f02d652beaa2f96006b0930a2cb7891d63d74f978a69b4c6647453fda360a7
,140,ada-chewing-bubble-gum,"ada chewing bubble gum","Ada always chewing gum.",Female,"hair: none;eyes: none;teeth: white; clothing: traditional wear; accessories:cap; expression:sassy; strength:decisive; weakness: insensitive",a54a8cbfb00c3694b81005ee8f2f52f0d6ad0003f41b4aae4e95b73973e4f204
"TEAM PLUG",141,viganem-the-drummer-girl,"viganem the drummer girl","She is known for typically playing the drum for 5 hours per day without a break.",Female,"hair: none; eyes: none; teeth: none; clothing: ankara with drum patterns; accessories: none; expression: sumg; strength: none; weakness: none",11c1892ea91107de442ab319e8326c1bea651f9025d6461f90846dc71e0da106
,142,lenusuka-the-big-woman,"lenusuka the big woman","The lady that loves spending money and buying everybody asaobi.",Female,"hair: purple; eyes: none; teeth: none; clothing: black and blue ankara; accessories: none; expression: serious; strength: none; weakness: none",845489b624881ea5b223cda042117414689a78c3751468dfd33691238e09c8aa
,143,enepua-the-clout-queen,"enepua the clout queen","The lady that travels all day and enjoys snapping food at restaurants.",Female,"hair: purple; eyes: none; teeth: none; clothing: black ankara with yellow and blue gear pattern; accessories: none; expression: chill; strength: none; weakness: none",a7d0afc0b81b87832dabe07af37dbb452d88c35724785cfff462be813e3be52e
,144,usifong-queen-of-mushin,"usifong queen of mushin","Changes her hair every 2 weeks and cannot finish one pure water.",Female,"hair: brown afro; eyes: none; teeth: none; clothing: black ankara with yellow peach and blue gear pattern; accessories: none; expression: unbothered; strength: none; weakness: none",9b051226d78d0db6fb9d7a7822c823d3f0296f546b8a73c8ec897380d6016bae
,145,akinyim-the-clown,"akinyim the clown","The most interesting christmas clown, known for dancing in prisons and hospitals on christmas eve.",Female,"hair: burgundy dreadlocks; eyes: none; teeth: none; clothing: kente blouse with asymmetric neckline; accessories: none; expression: off-standish; strength: none; weakness: none",cddff9ced7802fa63607577a3853393e088090fedaa73087a7b061f4c2018ec1
,146,zawadi-mr-sleep-everywhere,"zawadi mr sleep everywhere","Likes sleeping in the weirdest places especially in clubs.",Male,"hair: brown; eyes: none; teeth: none; clothing: kente agbada; accessories: none; expression: goofy; strength: none; weakness: none",252eb78531fc3b87d9405751886f3d15ffc427606ecfbb1a86d2c7d3cbb4a616
,147,chepkirui-mr-self-love,"chepkirui mr self love","Likes taking care of himself and spending on himself.",Male,"hair: burgundy; eyes: none; teeth: none; clothing: black and kente patterned agbada; accessories: none; expression: sleepy; strength: none; weakness:none",ddfe6d303014cfb4854504080c1db75efbdc324dc1e066a0e127fe7824d19798
,148,naserian-the-fear-fear-dancer,"naserian the fear fear dancer","A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.",Male,"hair: face; eyes: none; teeth: none; clothing: yellow and blue ankara; accessories: none; expression: warm; strength: none; weakness: none",af91644002335d39e5cbcc9ca99984bded0182e693ebab4fcce98970a1dfe6bf
,149,wawuda-the-ashawo-of-africa,"wawuda the ashawo of africa","Brags about his body count and follows skirt anywhere.",Male,"hair: blue; eyes: none; teeth: none; clothing: green top with blue overalls; accessories: none; expression: fear; strength: none; weakness: none",16534c9f0314e2086bd431e09e0b3ba5fad6e2db206bc6fc77ba78b87f58dc31
,150,kerubo-the-igbo-smoker,"kerubo the igbo smoker","Loves only his igbo and is happy when he finds an old blunt.",Male,"hair: brown; eyes: none; teeth: none; clothing: brown shirt with dog pattern; accessories: none; expression: smirking strength: none; weakness: none",bcf875e07c28d171549f2e7aaca2ad93717969e653416b64915a2fc6c91d027f
,151,rehema-the-olodo,"rehema the olodo","Failed primary 5 eight times and like playing football after school.",Male,"hair: teal; eyes: none; teeth: none; clothing: purple shirt with yellow accent; accessories: none; expression: euphoric; strength: none; weakness: none",fa2636064ab901c00dcf234b6971bef7b1b79b8012a7cc6012ae4942bb7ffd1a
,152,nekesa-the-brainbox,"nekesa the brainbox","A proposed elite who cannot write a simple speech.",Male,"hair: black; eyes: none; teeth: none; clothing: monostrap black ankara with yellow and red patterns; accessories: none; expression: playful; strength: none; weakness: none",c6a2186281f7071caf0bdbbee801b096e1b3828ad479d6083ff6e24ec619fc6b
,153,kiokoli-the-slowrunner,"kiokoli the slowrunner","Always running in every race but never making it to the first 5.",Male,"hair: black; eyes: none; teeth: none; clothing: maroon agbada with yellow accents; accessories: none; expression: clueless; strength: none; weakness: none",4058a913b8145d528423a018a68d8892aa1550675dad75e0615841e2a39d040c
,154,adjuani-uncle-wire-wire,"adjuani uncle wire wire","Mugu money spender that loves spending on women extravagantly.",Male,"hair: red; eyes: none; teeth: none; clothing: plain and patterned ankara shirt; accessories: none; expression: anxious; strength: none; weakness: none",148e5e934da0623b7660a2e9159129a288cf452012335a4f8526f044182f5cb1
,155,ajobaru-a-creative-artist,"ajobaru a creative artist","A lovely artist who is known for creating magical art pieces that can spark a smile.",Male,"hair: black; eyes: none; teeth: none; clothing: yelow kente shirt; accessories: none; expression: cheerful; strength: none; weakness: none",b49fe06fc072113695dfabdaf88be368adeee878a808de486e42a532365f076e
,156,effiadem-the-fireman,"effiadem the fireman","A retired military general who always loves shooting at sight.",Male,"hair: brown; eyes: none; teeth: none; clothing: black and kente agbada; accessories: none; expression: high; strength: none; weakness: none",dd2e54d7b11cc7f767c6ab56aca960fca6b67405382217fdae61f7cc545dc36f
,157,deladem-the-commandoo,"deladem the commandoo","The nerd who has watched all war movies but cannot fight a kid.",Male,"hair: burgundy; eyes: none; teeth: none; clothing: black and kente agbada; accessories: none; expression: none; strength: none; weakness: none",83bcbfdeed514d63a3ea77f438c4e44a575a6f9cff5b588a7d4b82ee78608fd2
,158,dogbeda-the-monger,"dogbeda the monger","A fisherman who pracitically live in the river.",Male,"hair: orange;  eyes: none; teeth: none; clothing: orange and blue denim; accessories: none; expression: unbothered; strength: none; weakness: none",9bd1337e96c5d705ae6de4e2729f93e5dac49b66e0c18e61875c90c4cb7dd48e
,159,enyonyam-our-slay-mama,"enyonyam our slay mama","Posts new pictures everyday and can snub for africa.",Male,"hair: blue; eyes: none; teeth: none; clothing: green top with overall; accessories: none; expression: none; strength:none; weakness: none",d9dcde4e1c5da77bcd39d982282250d87cdcef7f963c37515720fbc9d2a9336a
,160,lumusi-pro-technician,"lumusi pro technician","The electrician well known for wiring burnt buildings.",Male,"hair: red; eyes: none; teeth: none; clothing: white top with blue overalls; accessories: none; expression: high; strength: none; weakness: none",cb111252b7378dad401cbef95fc85fdf3cb85d234499764cf5a1c168352d897f
"TEAM HEADLIGHT",161,funmi-the-fashionist,"funmi the fashionist","Funmi enjoys fashion and she always takes opportunity to showcase her wardrobe.",Female,"hair: black hair; eyes: none; teeth: none; clothing: aso oke; expression: cool; accessories: head tye and eye glasses; strength: fashion; weakness: men",2a33235a71c8569053ad66781bf02fa3d5f324b7525c3c370d13ac35e5229720
,162,bola-the-funky,"bola the funky","Bola is a funky fellow but she has another personality no one knows.",Female,"hair: purple shuku; eyes: none; teeth: none; clothing: adire top; expression: neutral; accessories: eye glasses; strength: caring; weakness: snake",7cb1a8aa7f1f1240567e3563c3ca9fce7ef39afc5565fc151e46051120398833
,163,bimpe-the-runzgirl,"bimpe the runzgirl","Be careful with Bimpe because she cac be sensitive.",Female,"hair: purple dreadlock; eyes: none; teeth: none; clothing: one arm ankara; expression: mischievious; accessories: eye glasses; strength: humanitarian; weakness: opposite sex",8ec4c9c69412bf1db19fa4222326c3afd36c1af552b9d425961e9bc669b4db73
,164,sola-the-queen,"sola the queen","Sola is a princess as she's got the mind of a queen.",Female,"hair: brown long hair; eyes: none; teeth: none; clothing: blouse top; expression: cool; accessories: eye glasses; strength: Strong character; weakness: beauty",22966acb82e7a0924ddb77ea471969413a23e2a771b22ee32687ff5eee1702a2
,165,temi-afro-girl,"temi afro girl","Temi is know for her funny haircut and this time afro is up.",Female,"hair: orange full hair; eyes: none; teeth: none; clothing: ankara; expression: cool; accessories: eye glasses; strength: loving; weakness: sheepish",35649036eab2ef258f77651eceb72339cb6150aa87a5847f09b22d7971929d65
,166,jonny-the-bravo,"jonny the bravo","Jonny is friendly to all and everybody sees him as kind agile Jonny.",Male,"hair: orange pink; eyes: closed; teeth: candy in mouth; clothing: igbo attire; expression: relaxed; accessories: candy in mouth; strength: helping people; weakness: hastly rash",7f17a605c3002fb6388d1d6c0ffa6f088518619ae5c3d8a877dd78f18f7aebd1
,167,tunde-the-bigman,"tunde the bigman","Tunde is the big man on the street and flamboyant life style is his identity.",Male,"hair: none; eyes: closed; teeth: white with one tooth missing; clothing: agbada; expression: resting; accessories: head wear; strength: money; weakness: monkey",05c1197724517d74c83fcaa0d3ebf7ab3766b70cc7397d1eda1050cf83ff9e93
,168,joe-the-plain,"joe the plain","Plain and simple and no one in town is more gentle that broda Joe.",Male,"hair: none; eyes: watery blue eye; teeth: tongue out; clothing: agbada; expression: happy; accessories: face cap; strength: handling situation; weakness: overthinking",88233d94fdad12a9ee37e35d3e8bdae009118ce8873b60456982df10e1f621bf
,169,wale-sharp-guy,"wale sharp guy","Wale no de carry last because he thinks and act fast.",Male,"hair: none; eyes: closed; teeth: white with a tooth missing; clothing: agbada; expression: fearful; accessories: blue head scaf; strength: smart; weakness: too forward",d8f5fdd23ebd2fd1c949051d95f0f5c084745045863b6db1a4ee7103c4b88d5a
,170,dele-the-snoozer,"dele the snoozer","If sleeping were to be a job then Dele will be the world busiest man.",Male,"hair: low cut; eyes: closed; teeth: gapped teeth; clothing: agbada; expression: snoozing; accessories: none; strength: loving; weakness: sleep",0f04baa2dcf6eca94ebfe1e058f77cabe5741e72af22472983c51f932afbecc4
,171,"father -of -tolu","father of tolu","Baba Tolu is a proud father. He will sell his soul just to see Tolu excel in life.",Male,"hair: none; eyes: black iris; teeth: long front tooth; clothing: ankara; expression: fearfully; accessories: head cap; strength: fatherly; weakness: women",e804c71ab92f379c0e7a5e26229c5256efc95c7599a198913441e3a53224dcd4
,172,emeka-the-chief,"emeka the chief","Chief Emeka is the pillar of the community. Just and fair to all. The real mazi.",Male,"hair: none; eyes: black iris; teeth: full white teeth; clothing: wrapper wrapped around body; expression: smiling; accessories: head cap; strength: leadership; weakness: anger",c4826758d04bf7d3b798547967eeee75a095e7acb7d31ef4293009230a79cadc
,173,lawal-the-drooler,"lawal the drooler","Lawal has only one business which is just to sleep and sleep. it's only normal for him to drool anytime.",Male,"hair: none; eyes: teary grey iris; teeth: gapped teeth; clothing: agbada; expression: sleepy; accessories: head wear; strength: rich; weakness: alcoholism",4ce3e3476c7769a9c7d52a723a640fb2f96c5fc5b615d395482f05c4929b7e91
,174,solo-the-messenger,"solo the messenger","Solo is a multitasker if you need anything done in your home, Solo is your guy.",Male,"hair: none; eyes: black eye; teeth: stained tooth; clothing: simple top; expression: relax; accessories: cap; strength: multitasking; weakness: women",62ed7804cf3ef6438050137243eb2553593076af0475d1aa12925293600175f5
,175,femi-the-honorable,"femi the honorable","Honorable Femi is the modern day politician but everything he does is only to further his political career.",Male,"hair: none; eyes: blue iris; skin color: brown; teeth: one missing tooth; clothing: aso oke; expression: happy; accessories: abetiaja cap; strength: public speaking; weakness: money",71fda0e55f872885da911226f72ead2fa1c3b3322b1e2d639089c0609fbac25c
,176,friday-the-bigsboy,"friday the bigsboy","Friday always live up to his name. Every Friday is for the party.",Male,"hair: orange afro; eyes: black iris; skin color: brown; teeth: none; clothing: aso oke; expression: unconcerned; accessories: cigrette in mouth; strength: money in pocket; weakness: sense of responsibility",7f579bc11a0dbf9295adfacb5c8fac8e41142938d64ff55d70d7e40c1ae38837
,177,kweku-the-planter,"kweku the planter","Kweku says he did it but he dey plant until he was bursted.",Male,"hair: none; eyes: closed; teeth: none; clothing: aso oke; expression: smiling; accessories: head wear; strength: industrious; weakness: criminally minded",b3fc49bce9a048951e0557fc5d7e6e33897cd654d02de802faf8bf10980fae1a
,178,2pac-the-remix,"2pac the remix","2pac is alive in him because his style is exactly the same.",Male,"hair: none; eyes: blue iris; teeth: gapped teeth; clothing: Igbo clothing; expression: surprised; accessories: face cap; strength: hardworking; weakness:fear",8f09f38794af17fa677664ba1af80097bfcf7c3b36c007b1960d0e8f041f2239
,179,tope-the-influencer,"tope the influencer","Tope is a famous influencer and she is loved by his followers which keep growing everyday.",Female,"hair: none; eyes: black iris; teeth: none; clothing: agbada; expression: tired; accessories: tied head scaf; strength: Influencing people; weakness: talk too much",510f7c98eba900161b9e74babdb425cedd91e21818cf396aa47129153ce5c695
,180,gabby-the-evangelist,"gabby the evangelist","Evangelist Gabby is blending gospel with comedy.",Male,"hair: pink hair; eyes: black iris; teeth: none; clothing: agbada; expression: happily surprised; accessories: none; strength: make people happy; weakness:misleading",23a63507046ba9a9a309d81b28dacb6414e05ff7ff725cc021d61bd89bea99bb
"TEAM CRANKSHAFT",181,beauty-of-town,"beauty of town","She is the most beautiful in the neighbourhood.",Female,"hair: pitch; eyes: blue;  teeth: none;  clothing: top; accessories: bow-tie;  expression: strengths: powerful; weakness: sentimental",e3fddb965b646d240cbe7b061c15c8577aa93675cf0cffbbbf0d2afc65868cce
,182,lola-babe,"lola babe","You will always see her in tight fittted dresses; she loves the exquisite life.",Female,"hair: brown; eyes: blue; teeth: none; clothing: aso-oke; accessories: none; expression: happy; strengths: calculative; weakness: misleading",92abf31eb9a7a3a6189fc9055d8899b0f49dd05fe52225e38d0844c71cf8fb44
,183,cardy_h-sharp-babe,"cardy h sharp babe","Cardy is the sharpest amongst her friends.",Female,"hair: two brown bun; eyes: blue; teeth: none; clothing: aso-oke; accessories: none; expression: blank; strength: free spirit; weakness: misleading",188294b2da119a7fd02da91f1572e1a514d02fa3a83450348cff3479ddb576f1
,184,bella-the-baller,"bella the baller","Bella earns big; she is always out partying and buying bottles.",Female,"hair: brown; eyes: blue; teeth: none; clothing: patterned top; accessories: none; expression: determined; strength: adaptation; weakness: fluency",f14eb9f755a7a45c9a702260cb524281ffcedcd3a1b95fb218ff3718ec2b5384
,185,milly-of-roses,"milly of roses","She is very attractive but doesn't have a social life.",Female,"hair: beige; eyes: blue; teeth: none; clothing: black top; accessories: none; expression: happy; strength: cool headed; weakness: pressure",c9880f95bab3ef7d1ee7cb4ac86e6491d3f99327c0aa87c3c23e84e890513552
,186,preciousjada-the-viper,"preciousjada the viper","Her opinions are great but her words sting like viper.",Female,"hair: ginger afro; eyes: blue; teeth: white teeth; clothing: aso-oke; expression: strong-willed; strength: confidence; weakness: endurance",100ebe9b984025abba33df4b2577c3f087c039bbc70d4a615f2e7c3081029397
,187,lolly-of-ny,"lolly of ny","Most popular visual artist; alway gets praised for her creativity.",Female,"hair: purple braids; eyes: black; teeth: none; clothing: black and blue top; accessories: none; expression: calculative; strength: strong willed; weakness: relationship",e39f406fd8dd307d40d88973e969fe9d954cd5a17d0f3563a1bd92e061b1cffc
,188,disy-the-dancer,"disy the dancer","A dancer that brings the spotlight on her.",Female,"hair: black; eyes: black; teeth: none; clothing: one arm top; accessories: scarf; expression: bad girl vibes; strength: cleaniness; weakness: perfectionist",17cf1f834bf7c858eed9582aeaf3913ba7f6c4a0e5994261f1b4d3e02f4a4a18
,189,jenny-the-great,"jenny the great","Loves burna boy; you will always catch him on his tracks.",Female,"hair: black; eyes: none; teeth: none; clothing: none; accessories: scalf; expression: none; strength: badass; weakness: cancer",f153c8b15833097bf5492e0b9885e0ff04ed1f939ed82da61aefcd4836b70f5d
,190,lolly-the-pop,"lolly the pop","Everywhere she goes she shines like a star.",Female,"hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: peaceful; weakness: anger",c649fd5807782d802b081d814e9ce8c6462390167abb7168be1c15168bae47ec
